,enter,candle interval,resistance lines,resistance lines slopes,resistance lines diff,resistance lines diff slopes,resistance lines broke,resistance lines broke slopes,time,exit time,interval short sma,interval long sma,enter short sma slope,enter long sma slope,short long sma difference,enter RSI,positive RSI momentum,negative RSI momentum,RSI change,call or put,exit,price change
20,452.6199951171875,3,0,[],4,"[-0.06400146484375, -0.053334554036458336, -0.039996337890625, -0.036661783854166664]",8,"[-0.050018310546875, -0.020624160766601562, -0.017631129214638157, -0.017142159598214284, -0.014411477481617647, -0.011818625710227272, -0.0096435546875, -0.0016682942708333333]",2021-08-30 12:36:00,2021-08-30 13:08:00,9,180,-0.011351182728281452,0.0032914612002463805,1.1953602106000858,50.824728902543534,11.917883907762352,0.0,11.917883907762352,c,452.6300048828125,0.010009765625
21,452.7300109863281,3,0,[],4,"[-0.05999755859375, -0.012856619698660714, -0.009473298725328948, -0.004375457763671875]",0,[],2021-08-30 13:06:00,2021-08-30 13:23:00,9,180,0.005167078087106347,0.0036100033567183546,1.2011742088677124,55.767826322767206,5.280598848741647,2.038053459129749,3.242545389611898,c,452.7012939453125,-0.028717041015625
22,452.7200012207031,3,3,"[-0.008269089918870192, -0.005208333333333333, -0.0007149832589285714]",1,[-0.0374908447265625],0,[],2021-08-30 13:24:00,2021-08-30 13:32:00,9,180,0.002106843172158632,0.0036260798237183027,1.191448674761773,53.949096180258046,3.7977516573998926,2.790059453167295,1.0076922042325975,c,452.7049865722656,-0.0150146484375
23,452.8100891113281,3,0,[],6,"[-0.009286063058035714, -0.008484811493844696, -0.008269089918870192, -0.005208333333333333, -0.0033365885416666665, -0.0007149832589285714]",2,"[-0.0021696270636792454, -0.002050937750400641]",2021-08-30 13:39:00,2021-08-30 14:14:00,9,180,-0.00045233832206577064,0.0036273094049344462,1.1390766378731314,58.92992285039605,7.367991741030686,1.479779925534821,5.888211815495865,c,452.875,0.064910888671875
24,453.0,3,0,[],5,"[-0.029998779296875, -0.0175018310546875, -0.013336181640625, -0.0015452991832386363, -0.001219214462652439]",0,[],2021-08-30 14:15:00,2021-08-30 14:23:00,9,180,0.0020178900824652777,0.00392184569241686,1.1967500813797756,65.78048911173471,10.25648454547133,2.700252547783215,7.556231997688116,c,452.80499267578125,-0.19500732421875
25,452.8399963378906,3,0,[],6,"[-0.06500244140625, -0.0318756103515625, -0.028997802734375, -0.027143205915178572, -0.018330891927083332, -0.009979248046875]",2,"[-0.014090798117897728, -0.0028555733816964285]",2021-08-30 14:48:00,2021-08-30 15:17:00,9,180,-0.005333116319444445,0.003565927418983645,0.9516159449981956,52.98289080897551,15.482494167474947,0.0,15.482494167474947,c,452.8599853515625,0.019989013671875
26,451.44000244140625,3,0,[],2,"[-0.09111192491319445, -0.0500030517578125]",0,[],2021-08-31 10:03:00,2021-08-31 10:29:00,9,180,-0.023187126038182113,-0.001721936505701807,-0.7992574801974683,34.49872841364633,17.08507298047266,0.0,17.08507298047266,c,451.4599914550781,0.019989013671875
27,451.8399963378906,3,1,[-0.013667805989583334],1,[-0.10832722981770833],0,[],2021-08-31 10:30:00,2021-08-31 10:38:00,9,180,0.013666562676533229,-0.0010343228259848225,-0.3774337913876593,51.53062543890879,12.579428712627532,0.0,12.579428712627532,c,451.7099914550781,-0.1300048828125
28,451.92498779296875,3,0,[],4,"[-0.139984130859375, -0.014165242513020834, -0.013809930710565476, -0.013667805989583334]",2,"[-0.008749643961588541, -0.0019237811748798077]",2021-08-31 10:39:00,2021-08-31 11:08:00,9,180,0.0021110252063307497,-0.0007643735398434931,-0.3788968060206912,54.009030354798526,8.158485974301982,1.9327635127739242,6.225722461528058,c,451.9200134277344,-0.004974365234375
29,452.0150146484375,3,1,[-0.0016672770182291667],1,[-0.134979248046875],0,[],2021-08-31 11:06:00,2021-08-31 11:14:00,9,180,0.008222565828408633,-0.0003489597079654535,-0.11396076117620169,54.356135925854225,2.502857005118109,0.8473426879195287,1.6555143171985804,c,451.8999938964844,-0.115020751953125
